,0
0,679
1,644
2,518
3,384
4,317
5,339
6,419
7,492
8,511
9,470
10,407
11,368
12,379
13,430
14,485
15,510
16,499
17,471
18,453
19,462
20,487
21,508
22,505
23,481
24,454
25,449
26,474
27,516
28,552
29,561
30,543
31,511
32,487
33,483
34,496
35,513
36,524
37,526
38,527
39,535
40,553
41,572
42,581
43,575
44,558
45,542
46,538
47,548
48,568
49,589
50,610
51,632
52,662
53,700
54,742
55,779
56,805
57,822
58,837
59,855
60,875
61,888
62,882
63,856
64,816
65,778
66,757
67,756
68,766
69,776
70,774
71,763
72,752
73,750
74,759
75,769
76,768
77,749
78,716
79,681
80,659
81,653
82,658
83,664
84,661
85,649
86,632
87,618
88,608
89,597
90,577
91,546
92,510
93,479
94,463
95,465
96,480
97,497
98,507
99,505
100,492
101,474
102,455
103,439
104,430
105,431
106,444
107,466
108,490
109,508
110,510
111,494
112,466
113,438
114,419
115,413
116,416
117,422
118,423
119,419
120,413
121,409
122,410
123,410
124,406
125,396
126,386
127,383
128,396
129,424
130,459
131,488
132,500
133,490
134,461
135,422
136,384
137,352
138,328
139,308
140,293
141,284
142,293
143,333
144,419
145,559
146,753
147,993
148,1270
149,1576
150,1912
151,2281
152,2682
153,3094
154,3478
155,3776
156,3930
157,3906
158,3704
159,3363
160,2944
161,2512
162,2114
163,1771
164,1486
165,1252
166,1066
167,925
168,828
169,765
170,721
171,679
172,634
173,588
174,556
175,547
176,561
177,582
178,592
179,577
180,537
181,488
182,445
183,419
184,407
185,400
186,387
187,363
188,335
189,309
190,290
191,275
192,259
193,240
194,222
195,215
196,225
197,252
198,283
199,304
200,304
201,285
202,256
203,232
204,221
205,223
206,230
207,236
208,239
209,242
210,250
211,260
212,269
213,268
214,255
215,234
216,214
217,205
218,211
219,227
220,243
221,253
222,251
223,243
224,235
225,231
226,233
227,237
228,243
229,247
230,252
231,256
232,261
233,262
234,260
235,252
236,244
237,236
238,233
239,234
240,239
241,247
242,258
243,272
244,289
245,303
246,309
247,303
248,285
249,262
250,244
251,239
252,249
253,269
254,291
255,306
256,311
257,305
258,293
259,280
260,269
261,261
262,258
263,263
264,276
265,296
266,320
267,339
268,347
269,340
270,319
271,292
272,267
273,254
274,256
275,273
276,298
277,324
278,344
279,355
280,358
281,356
282,355
283,360
284,373
285,391
286,408
287,421
288,427
289,427
290,425
291,424
292,425
293,427
294,428
295,429
296,434
297,445
298,463
299,486
300,507
301,520
302,522
303,516
304,508
305,507
306,515
307,532
308,554
309,576
310,594
311,608
312,617
313,624
314,628
315,632
316,638
317,650
318,670
319,695
320,722
321,743
322,757
323,764
324,770
325,781
326,798
327,819
328,838
329,851
330,855
331,856
332,859
333,871
334,890
335,913
336,934
337,947
338,953
339,953
340,949
341,948
342,951
343,961
344,977
345,999
346,1020
347,1035
348,1036
349,1023
350,1000
351,976
352,961
353,960
354,973
355,991
356,1005
357,1008
358,998
359,978
360,953
361,925
362,899
363,876
364,860
365,852
366,852
367,856
368,858
369,848
370,826
371,793
372,758
373,730
374,712
375,701
376,694
377,684
378,671
379,658
380,649
381,645
382,642
383,634
384,619
385,599
386,579
387,565
388,561
389,562
390,563
391,557
392,542
393,523
394,503
395,486
396,474
397,464
398,457
399,454
400,458
401,470
402,488
403,505
404,515
405,512
406,497
407,474
408,450
409,429
410,412
411,399
412,391
413,390
414,397
415,413
416,433
417,449
418,456
419,450
420,437
421,423
422,415
423,417
424,425
425,433
426,438
427,436
428,432
429,427
430,423
431,420
432,418
433,416
434,417
435,423
436,435
437,449
438,459
439,460
440,449
441,430
442,411
443,399
444,399
445,408
446,422
447,438
448,452
449,463
450,474
451,483
452,489
453,491
454,488
455,483
456,479
457,480
458,487
459,496
460,503
461,502
462,489
463,468
464,445
465,428
466,422
467,430
468,449
469,472
470,494
471,511
472,522
473,529
474,534
475,534
476,529
477,518
478,500
479,482
480,471
481,472
482,489
483,514
484,540
485,557
486,557
487,542
488,518
489,494
490,478
491,473
492,478
493,489
494,501
495,511
496,517
497,517
498,513
499,506
500,499
501,496
502,498
503,504
504,512
505,518
506,519
507,514
508,506
509,497
510,489
511,483
512,481
513,481
514,484
515,492
516,502
517,511
518,514
519,505
520,485
521,460
522,441
523,436
524,448
525,472
526,499
527,519
528,525
529,520
530,509
531,498
532,491
533,485
534,479
535,472
536,463
537,458
538,459
539,468
540,480
541,491
542,495
543,488
544,473
545,455
546,439
547,432
548,435
549,446
550,460
551,473
552,480
553,481
554,479
555,477
556,478
557,482
558,485
559,486
560,485
561,483
562,485
563,492
564,502
565,509
566,506
567,492
568,471
569,453
570,446
571,454
572,471
573,489
574,496
575,489
576,472
577,453
578,440
579,436
580,438
581,441
582,445
583,450
584,461
585,477
586,494
587,502
588,495
589,472
590,443
591,420
592,415
593,429
594,457
595,487
596,510
597,522
598,525
599,522
600,516
601,506
602,492
603,474
604,459
605,453
606,459
607,475
608,493
609,505
610,505
611,496
612,486
613,481
614,484
615,493
616,502
617,508
618,510
619,510
620,510
621,511
622,510
623,507
624,504
625,504
626,514
627,535
628,561
629,584
630,595
631,592
632,579
633,565
634,556
635,553
636,556
637,558
638,560
639,565
640,580
641,609
642,649
643,690
644,721
645,737
646,739
647,738
648,747
649,772
650,813
651,861
652,903
653,931
654,938
655,925
656,897
657,861
658,822
659,787
660,760
661,744
662,739
663,744
664,753
665,762
666,767
667,766
668,759
669,746
670,728
671,705
672,680
673,660
674,648
675,648
676,658
677,671
678,680
679,678
680,666
681,647
682,627
683,610
684,596
685,583
686,568
687,549
688,528
689,509
690,495
691,487
692,484
693,484
694,486
695,492
696,501
697,513
698,526
699,533
700,532
701,521
702,503
703,481
704,459
705,439
706,422
707,411
708,407
709,413
710,431
711,456
712,480
713,494
714,493
715,476
716,452
717,432
718,425
719,435
720,459
721,488
722,514
723,528
724,527
725,510
726,482
727,448
728,415
729,392
730,384
731,393
732,409
733,420
734,414
735,392
736,366
737,363
738,409
739,522
740,703
741,936
742,1202
743,1487
744,1791
745,2123
746,2488
747,2873
748,3243
749,3542
750,3719
751,3742
752,3609
753,3351
754,3016
755,2651
756,2295
757,1966
758,1675
759,1425
760,1221
761,1063
762,948
763,868
764,811
765,766
766,728
767,696
768,674
769,661
770,651
771,637
772,613
773,578
774,539
775,504
776,476
777,453
778,431
779,403
780,369
781,334
782,307
783,294
784,297
785,309
786,324
787,337
788,348
789,359
790,370
791,378
792,377
793,360
794,329
795,293
796,262
797,247
798,251
799,268
800,289
801,303
802,306
803,300
804,291
805,284
806,283
807,286
808,293
809,300
810,307
811,314
812,321
813,325
814,323
815,312
816,293
817,270
818,249
819,237
820,239
821,254
822,278
823,302
824,318
825,323
826,316
827,301
828,287
829,278
830,280
831,291
832,306
833,321
834,331
835,336
836,336
837,333
838,328
839,320
840,308
841,295
842,283
843,278
844,280
845,291
846,307
847,321
848,330
849,329
850,320
851,305
852,288
853,275
854,269
855,274
856,291
857,317
858,344
859,366
860,374
861,367
862,347
863,324
864,309
865,307
866,319
867,339
868,362
869,379
870,389
871,393
872,391
873,387
874,378
875,368
876,357
877,352
878,357
879,374
880,399
881,427
882,447
883,456
884,454
885,445
886,437
887,435
888,442
889,455
890,470
891,484
892,492
893,495
894,494
895,489
896,484
897,480
898,479
899,482
900,490
901,504
902,524
903,550
904,581
905,614
906,644
907,665
908,674
909,672
910,665
911,659
912,661
913,675
914,698
915,722
916,741
917,752
918,755
919,753
920,751
921,752
922,756
923,765
924,779
925,798
926,824
927,854
928,882
929,904
930,915
931,918
932,916
933,917
934,925
935,941
936,960
937,975
938,982
939,981
940,976
941,971
942,969
943,969
944,969
945,969
946,968
947,968
948,970
949,974
950,977
951,977
952,973
953,966
954,960
955,958
956,960
957,964
958,964
959,959
960,946
961,929
962,911
963,893
964,874
965,853
966,831
967,810
968,796
969,792
970,799
971,812
972,824
973,824
974,810
975,783
